T,Vf,Vm,Ach
0.25,1.66E-02,1.66E-02,3.60E-04
0.5,1.66E-02,1.66E-02,2.54E-04
0.75,1.66E-02,1.66E-02,3.59E-04
1,1.66E-02,1.66E-02,2.54E-04
1.25,1.66E-02,1.66E-02,3.60E-04
1.5,1.66E-02,1.66E-02,2.49E-04
1.75,1.66E-02,1.66E-02,3.59E-04
2,1.66E-02,1.66E-02,2.46E-04
2.25,1.66E-02,1.66E-02,3.53E-04
2.5,1.66E-02,1.66E-02,2.46E-04
2.75,1.66E-02,1.66E-02,3.43E-04
3,1.66E-02,1.66E-02,2.53E-04
3.25,1.66E-02,1.66E-02,3.52E-04
3.5,1.66E-02,1.66E-02,2.51E-04
3.75,1.66E-02,1.66E-02,3.62E-04
4,1.66E-02,1.66E-02,2.46E-04
4.25,1.66E-02,1.66E-02,3.51E-04
4.5,1.66E-02,1.66E-02,2.48E-04
4.75,1.66E-02,1.66E-02,3.59E-04
5,1.66E-02,1.66E-02,2.44E-04
5.25,1.66E-02,1.66E-02,3.47E-04
5.5,1.66E-02,1.66E-02,2.51E-04
5.75,1.66E-02,1.66E-02,3.53E-04
6,1.66E-02,1.66E-02,2.47E-04
6.25,1.66E-02,1.66E-02,3.56E-04
6.5,1.66E-02,1.66E-02,2.43E-04
6.75,1.66E-02,1.66E-02,3.50E-04
7,1.66E-02,1.66E-02,2.47E-04
7.25,1.66E-02,1.66E-02,3.57E-04
7.5,1.66E-02,1.66E-02,2.47E-04
7.75,1.66E-02,1.66E-02,3.53E-04
8,1.66E-02,1.66E-02,2.50E-04
8.25,1.66E-02,1.66E-02,3.49E-04
8.5,1.66E-02,1.66E-02,2.52E-04
8.75,1.66E-02,1.66E-02,3.45E-04
9,1.66E-02,1.66E-02,2.45E-04
9.25,1.66E-02,1.66E-02,3.46E-04
9.5,1.66E-02,1.66E-02,2.49E-04
9.75,1.66E-02,1.66E-02,3.56E-04
10,1.66E-02,1.66E-02,2.45E-04
10.25,1.66E-02,1.66E-02,3.57E-04
10.5,1.66E-02,1.66E-02,2.54E-04
10.75,1.66E-02,1.66E-02,3.52E-04
11,1.66E-02,1.66E-02,2.52E-04
11.25,1.66E-02,1.66E-02,3.56E-04
11.5,1.66E-02,1.66E-02,2.48E-04
11.75,1.66E-02,1.66E-02,3.54E-04
12,1.66E-02,1.66E-02,2.50E-04
12.25,1.66E-02,1.66E-02,3.57E-04
12.5,1.66E-02,1.66E-02,2.51E-04
12.75,1.66E-02,1.66E-02,3.52E-04
